Category,URL,회사명,타이틀
데이터,https://www.wanted.co.kr/wd/184819,데이터라이즈,[100억↑투자] 글로벌 CX Manager(일본) / 3년이상
데이터,https://www.wanted.co.kr/wd/190642,엑스브레인(XBRAIN),데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/171700,샘표식품,데이터베이스 담당자(DBA) (IT인프라지원)
데이터,https://www.wanted.co.kr/wd/176329,펑타이그레이터차이나(피티코리아),데이터 분석
데이터,https://www.wanted.co.kr/wd/139028,두플,데이터 수집/분석 솔루션 개발자 - Java 고급
데이터,https://www.wanted.co.kr/wd/60525,카비(CARVI),데이터사이언티스트
데이터,https://www.wanted.co.kr/wd/185854,스피링크,AI 데이터 기반 NLP 모델러
데이터,https://www.wanted.co.kr/wd/117898,브레인커머스,[잡플래닛] 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/185831,스피링크,AI 학습 데이터 설계/구축 PM(프로젝트 매니저)
데이터,https://www.wanted.co.kr/wd/173447,더스윙,[SWING] 그로스 데이터 분석가
데이터,https://www.wanted.co.kr/wd/156559,씨제이대한통운(CJ대한통운),빅데이터 플랫폼 운영
데이터,https://www.wanted.co.kr/wd/189666,몰로코,Senior Growth Data Scientist
데이터,https://www.wanted.co.kr/wd/41945,핀다(FINDA),데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/159590,하나투어,데이터랩 추천서비스 개발
데이터,https://www.wanted.co.kr/wd/135815,위즈코어,"데이터 모니터링 솔루션 개발 (Java, JSP)"
데이터,https://www.wanted.co.kr/wd/137522,어반데이터랩,플랫폼 개발자 (풀스택)
데이터,https://www.wanted.co.kr/wd/162360,데이원컴퍼니,시니어 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/169465,코넥시오에이치,데이터 엔지니어(Data Engineer)
데이터,https://www.wanted.co.kr/wd/169831,한국미용데이터,백엔드 웹개발자 (AWS)
데이터,https://www.wanted.co.kr/wd/119414,단색,데이터 분석가(3년차)
데이터,https://www.wanted.co.kr/wd/158470,트릿지,[1500억↑투자] Senior Data Scientist
데이터,https://www.wanted.co.kr/wd/154764,골든플래닛,DW 데이터엔지니어
데이터,https://www.wanted.co.kr/wd/147683,안티그래비티,데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/191212,지란지교데이터,총무/경영지원/전산관리 담당자 (~3년이하) - 대전
데이터,https://www.wanted.co.kr/wd/179510,라이브데이터,AI 기반 교육 서비스 PO / 기획
데이터,https://www.wanted.co.kr/wd/178279,페이히어,[200억↑투자] 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/156626,라플라스테크놀로지스,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/167087,아이넥스코퍼레이션,[신입] 데이터 레이블러/데이터 라벨러
데이터,https://www.wanted.co.kr/wd/185848,스피링크,AI 데이터 설계/구축 B2B Sales(Junior)
데이터,https://www.wanted.co.kr/wd/168560,교보문고,시니어 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/175149,누비랩,[100억↑투자] 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/158582,부동산일일사,주거용 부동산 데이터 기획 및 관리자
데이터,https://www.wanted.co.kr/wd/189916,데이터블,커머스 운영 및 Assistant MD
데이터,https://www.wanted.co.kr/wd/142793,모요,데이터분석가
데이터,https://www.wanted.co.kr/wd/40215,씨드로닉스,백엔드 개발(AI데이터 관리 플랫폼)
데이터,https://www.wanted.co.kr/wd/186002,모아데이타,기술영업(프리세일즈) 담당자
데이터,https://www.wanted.co.kr/wd/172941,메디웨일,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/138962,쓰리알이노베이션,데이터 엔지니어 및 데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/161537,셰어라운드,데이터 엔지니어 (Data Engineer)
데이터,https://www.wanted.co.kr/wd/130444,워트인텔리전스,특허 빅데이터분석가 (IP빅데이터분석팀)
데이터,https://www.wanted.co.kr/wd/165990,콘텐츠웨이브(wavve),[Tech] 데이터 로그 개발자
데이터,https://www.wanted.co.kr/wd/184358,한국이에스지데이터,ESG분야 경영 컨설턴트
데이터,https://www.wanted.co.kr/wd/141352,휴맥스모빌리티,데이터 엔지니어(Data server Engineer)_Data Hub팀
데이터,https://www.wanted.co.kr/wd/165970,콘텐츠웨이브(wavve),[Tech] DBA (데이터베이스 관리자)
데이터,https://www.wanted.co.kr/wd/112988,아지앙스(Asiance),데이터 전문가
데이터,https://www.wanted.co.kr/wd/92746,111퍼센트,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/105496,안티그래비티,[부피 알고리즘] 데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/151703,어센트코리아(Ascent Korea),시니어 데이터사이언스
데이터,https://www.wanted.co.kr/wd/164766,데이콘,인공지능(데이터)경진대회 기획 및 컨텐츠 제작 담당자
데이터,https://www.wanted.co.kr/wd/185674,링네트,DBA (데이터베이스 관리자)
데이터,https://www.wanted.co.kr/wd/184276,트라이씨클,IT지원본부 데이터개발팀 팀장
데이터,https://www.wanted.co.kr/wd/192269,카운터포인트리서치,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/165473,예스이십사(예스24),DBA (데이터베이스관리자)
데이터,https://www.wanted.co.kr/wd/192242,어반데이터랩,재무팀 매니저(3년 이상)
데이터,https://www.wanted.co.kr/wd/179706,넷마블,데이터플랫폼 개발자
데이터,https://www.wanted.co.kr/wd/81835,데이터라이즈,[100억↑투자] Data Scientist
데이터,https://www.wanted.co.kr/wd/178341,위메이드(WEMADE),"데이터 엔지니어(블록체인, 팀장)"
데이터,https://www.wanted.co.kr/wd/160009,코드크레인(CodeCrain),"데이터엔지니어링/백엔드 개발자 (Python, Node.js)"
데이터,https://www.wanted.co.kr/wd/174175,콘센트릭스서비스코리아CATALYST,고객 및 디지털 데이터 분석 (차장~부장)
데이터,https://www.wanted.co.kr/wd/181909,컴투스홀딩스,데이터분석팀 리더 (7년 이상)
데이터,https://www.wanted.co.kr/wd/183274,웨이커,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/191088,몰로코,Senior Data Scientist
데이터,https://www.wanted.co.kr/wd/146533,우아한청년들,[B마트/배민스토어] 풀필먼트 데이터 분석가 (6년 이상)
데이터,https://www.wanted.co.kr/wd/174919,클로인트,"온체인 데이터 프로덕트 기획자 (PO, PM)"
데이터,https://www.wanted.co.kr/wd/176976,키다리스튜디오,데이터베이스 관리자 (10년 이상)
데이터,https://www.wanted.co.kr/wd/136902,부동산플래닛,DBA(데이터베이스관리자)
데이터,https://www.wanted.co.kr/wd/101408,디플래닉스(Dplanex),Data Scientist
데이터,https://www.wanted.co.kr/wd/174915,클로인트,온체인 데이터 조사역
데이터,https://www.wanted.co.kr/wd/192428,리팅랩스,데이터시각화 및 지표관리 담당 데이터분석팀원(3-4년)
